აბატი	ɑbɑtʼɪ	ɑbɑtʼi
აბელი	ɑbɛlɪ	ɑbɛli
აბზინდა	ˈɑbzɪndɑ	ˈɑbzindɑ
აბი	ɑbɪ	ɑbi
აბლაუტი	ɑblɑutʼɪ	ɑblɑutʼi
აბონემენტი	ɑbɔnɛmɛntʼɪ	ɑbɔnɛmɛntʼi
აბონენტი	ɑbɔnɛntʼɪ	ɑbɔnɛntʼi
აბორიგენი	ɑbɔrɪɡɛnɪ	ɑbɔriɡɛni
აბრაგი	ɑbrɑɡɪ	ɑbrɑɡi
აბრამი	ɑbrɑmɪ	ɑbrɑmi
აბრევიატურა	ɑbrɛvɪɑtʼurɑ	ɑbrɛviɑtʼurɑ
აბსოლუტური	ɑbsɔlutʼurɪ	ɑbsɔlutʼuri
აბსტრაქტული	ɑbstʼrɑkʰtʼulɪ	ɑbstʼrɑkʰtʼuli
აბსტრაქცია	ɑbstʼrɑkʰtsɪɑ	ɑbstʼrɑkʰtsiɑ
აბურძგნილი	ɑburdzɡnɪlɪ	ɑburdzɡnili
აგდებული	ɑɡdɛbulɪ	ɑɡdɛbuli
აგენტი	ɑɡɛntʼɪ	ɑɡɛntʼi
აგენტით	ɑɡɛntʼɪ	ɑɡɛntʼi
აგენტის	ɑɡɛntʼɪ	ɑɡɛntʼi
აგვისტოდ	ɑɡvɪstʼɔd	ɑɡvistʼɔd
აგვისტოთი	ɑɡvɪstʼɔtʰɪ	ɑɡvistʼɔtʰi
აგვისტომ	ɑɡvɪstʼɔm	ɑɡvistʼɔm
აგვისტოს	ɑɡvɪstʼɔs	ɑɡvistʼɔs
აგიზგიზებული	ɑɡɪzɡɪzɛbulɪ	ɑɡizɡizɛbuli
აგიტატორი	ɑɡɪtʼɑtʼɔrɪ	ɑɡitʼɑtʼɔri
აგლომერაცია	ɑɡlɔmɛrɑtsɪɑ	ɑɡlɔmɛrɑtsiɑ
აგნოსტიციზმი	ɑɡnɔstʼɪtsɪzmɪ	ɑɡnɔstʼitsizmi
აგონია	ɑɡɔnɪɑ	ɑɡɔniɑ
აგრესორი	ɑɡrɛsɔrɪ	ɑɡrɛsɔri
ადამი	ɑdɑmɪ	ɑdɑmi
ადამიანად	ɑdɑmɪɑnɑd	ɑdɑmiɑnɑd
ადამიანები	ɑdɑmɪɑnɛbɪ	ɑdɑmiɑnɛbi
ადამიანით	ɑdɑmɪɑnɪtʰ	ɑdɑmiɑnitʰ
ადამიანის	ɑdɑmɪɑnɪs	ɑdɑmiɑnis
ადამიანმა	ɑdɑmɪɑnmɑ	ɑdɑmiɑnmɑ
ადამიანს	ɑdɑmɪɑns	ɑdɑmiɑns
ადამიანურად	ɑdɑmɪɑnurɑd	ɑdɑmiɑnurɑd
ადამიანური	ɑdɑmɪɑnurɪ	ɑdɑmiɑnuri
ადგილას	ɑdɡɪlɑs	ɑdɡilɑs
ადგილობრივად	ɑdɡɪlɔbrɪvɑd	ɑdɡilɔbrivɑd
ადენოიდური	ɑdɛnɔɪdurɪ	ɑdɛnɔiduri
ადეპტი	ɑdɛpʼtʼɪ	ɑdɛpʼtʼi
ადვილად	ɑdvɪlɑd	ɑdvilɑd
ადიულტერი	ɑdɪultʼɛrɪ	ɑdiultʼɛri
ადიუტანტი	ɑdɪutʼɑntʼɪ	ɑdiutʼɑntʼi
ადმინისტრაციულად	ɑdmɪnɪstʼrɑtsɪulɑd	ɑdministʼrɑtsiulɑd
ადმინისტრაციული	ɑdmɪnɪstʼrɑtsɪulɪ	ɑdministʼrɑtsiuli
ადმირალი	ɑdmɪrɑlɪ	ɑdmirɑli
ადრენალინი	ɑdrɛnɑlɪnɪ	ɑdrɛnɑlini
ადრესატი	ɑdrɛsɑtʼɪ	ɑdrɛsɑtʼi
ადრეული	ɑdrɛulɪ	ɑdrɛuli
ადრიანე	ɑdrɪɑnɛ	ɑdriɑnɛ
ადრიანი	ɑdrɪɑnɪ	ɑdriɑni
აეროდინამიკა	ɑɛrɔdɪnɑmɪkʼɑ	ɑɛrɔdinɑmikʼɑ
აეროდრომი	ɑɛrɔdrɔmɪ	ɑɛrɔdrɔmi
აეროზოლი	ɑɛrɔzɔlɪ	ɑɛrɔzɔli
ავადმყოფური	ɑvɑdmqʼɔpʰurɪ	ɑvɑdmqʼɔpʰuri
ავანგარდი	ɑvɑnɡɑrdɪ	ɑvɑnɡɑrdi
ავანპოსტი	ɑvɑnpʼɔstʼɪ	ɑvɑnpʼɔstʼi
ავანტიურული	ɑvɑntʼɪurulɪ	ɑvɑntʼiuruli
ავეჯი	ɑvɛdʒɪ	ɑvɛdʒi
ავზი	ɑvzɪ	ɑvzi
ავზნიანი	ɑvznɪɑnɪ	ɑvzniɑni
ავთვისებიანი	ɑvtʰvɪsɛbɪɑnɪ	ɑvtʰvisɛbiɑni
ავიატორი	ɑvɪɑtʼɔrɪ	ɑviɑtʼɔri
ავიაცია	ɑvɪɑtsɪɑ	ɑviɑtsiɑ
ავიახაზი	ɑvɪɑχɑzɪ	ɑviɑxɑzi
ავინიონი	ɑvɪnɪɔnɪ	ɑviniɔni
ავისმომასწავებლად	ɑvɪsmɔmɑstsʼɑvɛblɑd	ɑvismɔmɑstsʼɑvɛblɑd
ავკაცი	ɑvkʼɑtsɪ	ɑvkʼɑtsi
ავსებული	ɑvsɛbulɪ	ɑvsɛbuli
ავსტრალიური	ɑvstʼrɑlɪurɪ	ɑvstʼrɑliuri
ავსტრიული	ɑvstʼrɪulɪ	ɑvstʼriuli
ავტოგრაფი	ɑvtʼɔɡrɑpʰɪ	ɑvtʼɔɡrɑpʰi
ავტოკალამი	ɑvtʼɔkʼɑlɑmɪ	ɑvtʼɔkʼɑlɑmi
ავტოკრატია	ɑvtʼɔkʼrɑtʼɪɑ	ɑvtʼɔkʼrɑtʼiɑ
ავტოკრატიული	ɑvtʼɔkʼrɑtʼɪulɪ	ɑvtʼɔkʼrɑtʼiuli
ავტომატური	ɑvtʼɔmɑtʼurɪ	ɑvtʼɔmɑtʼuri
ავტონომია	ɑvtʼɔnɔmɪɑ	ɑvtʼɔnɔmiɑ
ავტონომიური	ɑvtʼɔnɔmɪurɪ	ɑvtʼɔnɔmiuri
ავტორით	ɑvtʼɔrɪtʰ	ɑvtʼɔritʰ
ავტორის	ɑvtʼɔrɪs	ɑvtʼɔris
ავტორიტარული	ɑvtʼɔrɪtʼɑrulɪ	ɑvtʼɔritʼɑruli
ავტორიტეტულად	ɑvtʼɔrɪtʼɛtʼulɑd	ɑvtʼɔritʼɛtʼulɑd
ავტოსტოპი	ɑvtʼɔstʼɔpʼɪ	ɑvtʼɔstʼɔpʼi
ავტოსტოპით	ɑvtʼɔstʼɔpʼɪtʰ	ɑvtʼɔstʼɔpʼitʰ
ავტოსტოპის	ɑvtʼɔstʼɔpʼɪs	ɑvtʼɔstʼɔpʼis
ავყია	ɑvqʼɪɑ	ɑvqʼiɑ
ავყიობა	ɑvqʼɪɔbɑ	ɑvqʼiɔbɑ
